Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,,Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,1 Chest,A1_FavelaHub,PU_Money,D_Painter,"{13.5, -12.5, 315}",,1,A1_FavelaHub,PU_Money,,"{13.5, -12.5, 315}"
34 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge,,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{-11.215, 38.341, 281.068}",,,,3 Altar,AFEAR_A_SuperDandara_2,ITEM_SuperDandara_Altar,,PU_SuperDandara,None,"{35.5, -54.063, 0}",12,,21 Chest,AB_ToDesert_Secret1,PU_Money,Weapon_Teleport,"{5, -14, 0}",,60,A4_B1,PU_Money,,"{43, -38, 0}"
35 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge (1),,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{25, -4, 90}",,,,2 Altar,AFEAR_T_Exit,Future Path Gate-WPN_AltarTeleport,,Weapon_Teleport,"PU_Stone_Remembrance, PU_Stone_Creation, PU_Stone_Intention","{15.9, -31, 0}",,,22 Chest,A2_ToInsideShortcut,PU_Money,"PU_Stone_Creation, PU_Stone_Remembrance","{61, -15, 0}",,61,A4_B1,PU_Money,,"{50, -8, 270}"
35 Chest,A2_Boss,Overcast Gate Ruins-ChestMoneyLarge (1),,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{25, -4, 90}",,,,2 Altar,AFEAR_T_Exit,Future Path Gate-WPN_AltarTeleport,,Weapon_Teleport,"PU_Stone_Remembrance, Weapon_Teleport, PU_Stone_Intention","{15.9, -31, 0}",,,22 Chest,A2_ToInsideShortcut,PU_Money,"Weapon_Teleport, PU_Stone_Remembrance","{61, -15, 0}",,62,A4_B1,PU_Money,,"{61, -27.5, 90}"
NPC 4,A2_Boss,The Spirited Heart,,DLCF_EntranceAccessUnlocked,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation",Interactable,,,,1 Altar,AFEAR_Masters,WPN_AltarBombWater,,Weapon_WaterBomb,"D_DLCF_MastersIntroduction, D_DLCF_ExplorerFinish, D_DLCF_NobleFinish, D_DLCF_PersistentFinish, PU_Stone_Creation","{45.4, -2, 0}",,,23 Chest,A2_LotusCorridor,PU_HealthFlask,PU_Stone_Creation,"{37, -29, 270}",,63,A4_B1,PU_Money,,"{5.5, -12, 0}"
NPC 4,A2_Boss,The Spirited Heart,,DLCF_EntranceAccessUnlocked,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport",Interactable,,,,1 Altar,AFEAR_Masters,WPN_AltarBombWater,,Weapon_WaterBomb,"D_DLCF_MastersIntroduction, D_DLCF_ExplorerFinish, D_DLCF_NobleFinish, D_DLCF_PersistentFinish, Weapon_Teleport","{45.4, -2, 0}",,,23 Chest,A2_LotusCorridor,PU_HealthFlask,Weapon_Teleport,"{37, -29, 270}",,64,A4_B4,PU_DandaraArrow,,"{72.5, -75, 0}"
31 Chest,A2_DesertHeartRoom1,Broken Heart Archive-ChestFlaskHealth,,PU_HealthFlask,"PU_Stone_Remembrance, Blast, PU_Stone_Creation","{3.5, -13, 0}",,,,NPC 1,AFEAR_Masters,MastersIntroduction#1,,None,D_DLCF_MastersIntroduction,Interactable,,,24 Chest,A2_LotusCorridor,PU_ManaFlask,"PU_Stone_Creation, Blast","{47, -7, 90}",,65,A3_Back5,PU_ManaFlask,,"{27.438, -9, 270}"
31 Chest,A2_DesertHeartRoom1,Broken Heart Archive-ChestFlaskHealth,,PU_HealthFlask,"PU_Stone_Remembrance, Blast, Weapon_Teleport","{3.5, -13, 0}",,,,NPC 2,AFEAR_Masters,MastersIntroduction#2,,None,D_DLCF_MastersIntroduction,Interactable,,,24 Chest,A2_LotusCorridor,PU_ManaFlask,"Weapon_Teleport, Blast","{47, -7, 90}",,66,A3_BackSecret3,Weapon_Bounce,,"{15.5, -16, 0}"
23 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskHealth,,PU_HealthFlask,PU_Stone_Creation,"{37, -29, 270}",,,,NPC 3,AFEAR_Masters,MastersIntroduction#3,,None,D_DLCF_MastersIntroduction,Interactable,,,25 Chest,A2_LotusCorridor,PU_ManaFlask,"PU_Stone_Creation, Blast","{7.5, -37, 180}",,67,AF_C4_2,PU_HealthFlask,,"{3, -7.5, 270}"
23 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskHealth,,PU_HealthFlask,Weapon_Teleport,"{37, -29, 270}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,"Weapon_WaterBomb, Weapon_Teleport",Interactable,,,25 Chest,A2_LotusCorridor,PU_ManaFlask,"Weapon_Teleport, Blast","{7.5, -37, 180}",,68,AF_D2,PU_Money,,"{15, -9, 0}"
24 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Creation, Blast","{47, -7, 90}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,PU_Stone_Creation,Interactable,,,26 Chest,A2_ToInside3,PU_Money,PU_Stone_Creation,"{8, -54, 0}",,69,AF_D6,PU_Money,,"{57, -18, 0}"
24 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskMana,,PU_ManaFlask,"Weapon_Teleport, Blast","{47, -7, 90}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,Weapon_Teleport,Interactable,,,26 Chest,A2_ToInside3,PU_Money,Weapon_Teleport,"{8, -54, 0}",,70,AF_D6,PU_Money,,"{23.325, -14.675, 45}"
25 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Creation, Blast","{7.5, -37, 180}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,"Blast, PU_Stone_Creation",Interactable,,,27 Chest,A2_ToInside4,PU_Money,"PU_Stone_Remembrance, Weapon_Teleport","{36, -9.5, 270}",,71,AF_11,PU_Money,,"{33.5, -37, 0}"
25 Chest,A2_LotusCorridor,Main Warehouse-ChestFlaskMana,,PU_ManaFlask,"Weapon_Teleport, Blast","{7.5, -37, 180}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,"Blast, Weapon_Teleport",Interactable,,,2 Altar,A2_RemembranceStoneAltar,PU_Stone_Remembrance,PU_Stone_Creation,"{68.5, -41, 0}",,72,AF_D7,PU_DandaraArrow,,"{13.5, -33, 0}"
28 Chest,A2_MiningHeart,The Treasure-ChestFlaskHealth,,PU_HealthFlask,"PU_Stone_Creation, PU_Stone_Remembrance","{20.5, -21.938, 180}",,,,NPC 4,AFEAR_Masters,The Grand Stage-MastersIntroduction,,D_DLCF_MastersIntroduction,"Weapon_WaterBomb, PU_Stone_Creation",Interactable,,,2 Altar,A2_RemembranceStoneAltar,PU_Stone_Remembrance,Weapon_Teleport,"{68.5, -41, 0}",,73,AF_D7,PU_ManaFlask,,"{16, -4, 180}"
28 Chest,A2_MiningHeart,The Treasure-ChestFlaskHealth,,PU_HealthFlask,"Weapon_Teleport, PU_Stone_Remembrance","{20.5, -21.938, 180}",,,,NPC 5,AFEAR_M_Explorer1,Nakaturen Frigate Elevator-ExplorerStart,,D_DLCF_ExplorerStart,D_DLCF_MastersIntroduction,Interactable,,,3 Altar,A2_RemembranceWeaponRoom,Weapon_Remembrance,"PU_Stone_Remembrance, Weapon_Teleport","{20, -9.5, 90}",,74,AF_D7,PU_Money,,"{28.5, -4, 180}"
2 Altar,A2_RemembranceStoneAltar,StoneRemembranceAltar,,PU_Stone_Remembrance,PU_Stone_Creation,"{68.5, -41, 0}",,,,NPC 6,AFEAR_M_Noble1,Castle Entrance-NobleStart,,D_DLCF_NobleStart,D_DLCF_MastersIntroduction,Interactable,,,3 Altar,A2_RemembranceWeaponRoom,Weapon_Remembrance,"PU_Stone_Remembrance, PU_Stone_Creation","{20, -9.5, 90}",,,,,,
2 Altar,A2_RemembranceStoneAltar,StoneRemembranceAltar,,PU_Stone_Remembrance,Weapon_Teleport,"{68.5, -41, 0}",,,,NPC 7,AFEAR_M_Persistent1,Rock Cave-PersistentStart,,D_DLCF_PersistentStart,D_DLCF_MastersIntroduction,Interactable,,,28 Chest,A2_MiningHeart,PU_HealthFlask,"PU_Stone_Creation, PU_Stone_Remembrance","{20.5, -21.938, 180}",,,,,,
3 Altar,A2_RemembranceWeaponRoom,AltarRemembrance,,Weapon_Remembrance,"PU_Stone_Remembrance, Weapon_Teleport","{20, -9.5, 90}",,,,NPC 8,AFEAR_M_Explorer4,Wrecked Nakaturen Bridge-ExplorerFinish,,D_DLCF_ExplorerFinish,"D_DLCF_ExplorerStart, DLCF_TimeFlagTrap",Interactable,,,28 Chest,A2_MiningHeart,PU_HealthFlask,"Weapon_Teleport, PU_Stone_Remembrance","{20.5, -21.938, 180}",,,,,,
3 Altar,A2_RemembranceWeaponRoom,AltarRemembrance,,Weapon_Remembrance,"PU_Stone_Remembrance, PU_Stone_Creation","{20, -9.5, 90}",,,,NPC 9,AFEAR_M_Persistent2,Pain Sanctuary-TimeFlagTrap,,DLCF_TimeFlagTrap,"D_DLCF_PersistentStart, Weapon_Teleport",Interactable,,,29 Chest,A2_AnteChamber,PU_Money,PU_Stone_Creation,"{28.938, -24.5, 270}",,,,,,
26 Chest,A2_ToInside3,Auditorium-ChestMoneyLarge,,PU_Money,PU_Stone_Creation,"{8, -54, 0}",,,,NPC 9,AFEAR_M_Persistent2,Pain Sanctuary-TimeFlagTrap,,DLCF_TimeFlagTrap,"D_DLCF_PersistentStart, PU_Stone_Creation",Interactable,,,29 Chest,A2_AnteChamber,PU_Money,Weapon_Teleport,"{28.938, -24.5, 270}",,,,,,
26 Chest,A2_ToInside3,Auditorium-ChestMoneyLarge,,PU_Money,Weapon_Teleport,"{8, -54, 0}",,,,NPC 10,AFEAR_M_Noble5,Rest of the Acolyte-NobleFinish,,D_DLCF_NobleFinish,D_DLCF_NobleStart,Interactable,,,30 Chest,A2_AnteChamber,PU_Money,PU_Stone_Creation,"{22, -46, 0}",,,,,,
27 Chest,A2_ToInside4,Overburden Deposits-ChestMoneySmall,,PU_Money,"PU_Stone_Remembrance, Weapon_Teleport","{36, -9.5, 270}",,,,NPC 11,AFEAR_M_Persistent1,Rock Cave-PersistentFinish,,D_DLCF_PersistentFinish,D_DLCF_PersistentStart,Interactable,,,30 Chest,A2_AnteChamber,PU_Money,Weapon_Teleport,"{22, -46, 0}",,,,,,
27 Chest,A2_ToInside4,Overburden Deposits-ChestMoneySmall,,PU_Money,"PU_Stone_Remembrance, PU_Stone_Creation, Weapon_Teleport","{36, -9.5, 270}",,,,NPC 12,AFEAR_Cage_2,Nara's Cage-FreedNara,,DLCF_FreedNara,PU_DLCF_FinalKey,Interactable,,,31 Chest,A2_DesertHeartRoom1,PU_HealthFlask,"PU_Stone_Remembrance, Blast, PU_Stone_Creation","{3.5, -13, 0}",,,,,,
22 Chest,A2_ToInsideShortcut,Museum Main Hall-ChestMoneyMedium,,PU_Money,"PU_Stone_Creation, PU_Stone_Remembrance","{61, -15, 0}",,,,,,,,,,,,,31 Chest,A2_DesertHeartRoom1,PU_HealthFlask,"PU_Stone_Remembrance, Blast, Weapon_Teleport","{3.5, -13, 0}",,,,,,
22 Chest,A2_ToInsideShortcut,Museum Main Hall-ChestMoneyMedium,,PU_Money,"Weapon_Teleport, PU_Stone_Remembrance","{61, -15, 0}",,,,,,,,,,,,,32 Chest,A2_AnteChamberUp,PU_Money,"PU_Stone_Creation, Blast","{9, -4, 180}",,,,,,
45 Chest,A3_Back2,Parlance Road-ChestMoneyMedium,,PU_Money,"PU_Stone_Creation, PU_Stone_Intention","{24.125, -30.5, 90}",,,,,,,,,,,,,32 Chest,A2_AnteChamberUp,PU_Money,"Weapon_Teleport, Blast","{9, -4, 180}",,,,,,
45 Chest,A3_Back2,Parlance Road-ChestMoneyMedium,,PU_Money,Weapon_Teleport,"{24.125, -30.5, 90}",,,,,,,,,,,,,NPC 4,A2_Boss,DLCF_EntranceAccessUnlocked,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation",,,,,,,
61 Chest,A3_Back5,Eagle Highway-ChestFlaskMana,,PU_ManaFlask,Weapon_Teleport,"{27.438, -9, 270}",,,,,,,,,,,,,NPC 4,A2_Boss,DLCF_EntranceAccessUnlocked,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport",,,,,,,
61 Chest,A3_Back5,Eagle Highway-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Creation, PU_Stone_Intention","{27.438, -9, 270}",,,,,,,,,,,,,33 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{25, 4, 90}",,,,,,
37 Chest,A3_Back7,Side Turn-ChestMoneyLarge,,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{29, -27, 0}",,,,,,,,,,,,,33 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{25, 4, 90}",,,,,,
37 Chest,A3_Back7,Side Turn-ChestMoneyLarge,,PU_Money,"Weapon_Teleport, Blast","{29, -27, 0}",,,,,,,,,,,,,34 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{-11.215, 38.341, 281.068}",,,,,,
38 Chest,A3_Back7,Side Turn-ChestMoneyExtraLarge,,PU_Money,"PU_Stone_Intention, Blast, PU_Stone_Creation","{24.8, -21.5, 270}",,,,,,,,,,,,,34 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{-11.215, 38.341, 281.068}",,,,,,
38 Chest,A3_Back7,Side Turn-ChestMoneyExtraLarge,,PU_Money,"Weapon_Teleport, Blast","{24.8, -21.5, 270}",,,,,,,,,,,,,35 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, PU_Stone_Creation","{25, -4, 90}",,,,,,
6 Altar,A3_BackSecret3,AltarBounce,,Weapon_Bounce,Weapon_Teleport,"{15.5, -16, 0}",,,,,,,,,,,,,35 Chest,A2_Boss,PU_Money,"Boss_Kill_2, PU_Stone_Remembrance, Weapon_Teleport","{25, -4, 90}",,,,,,
6 Altar,A3_BackSecret3,AltarBounce,,Weapon_Bounce,"PU_Stone_Creation, PU_Stone_Intention","{15.5, -16, 0}",,,,,,,,,,,,,36 Chest,AB_FieldCampSecret,PU_ManaFlask,PU_Stone_Creation,"{19.5, -22, 0}",,,,,,
44 Chest,A3_Camp,Reasoning Lock-ChestFlaskMana,,PU_ManaFlask,Weapon_Teleport,"{43.5, -34, 0}",,,,,,,,,,,,,36 Chest,AB_FieldCampSecret,PU_ManaFlask,Weapon_Teleport,"{19.5, -22, 0}",,,,,,
44 Chest,A3_Camp,Reasoning Lock-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Creation, PU_Stone_Remembrance","{43.5, -34, 0}",,,,,,,,,,,,,37 Chest,A3_Back7,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{29, -27, 0}",,,,,,
44 Chest,A3_Camp,Reasoning Lock-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Creation, PU_Stone_Remembrance, PU_Stone_Intention","{43.5, -34, 0}",,,,,,,,,,,,,37 Chest,A3_Back7,PU_Money,"Weapon_Teleport, Blast","{29, -27, 0}",,,,,,
4 Altar,A3_CribOfIntention,To Love,,PU_Stone_Intention,Weapon_Teleport,"{68.5, -20.5, 0}",,,,,,,,,,,,,38 Chest,A3_Back7,PU_Money,"PU_Stone_Intention, Blast, PU_Stone_Creation","{24.8, -21.5, 270}",,,,,,
4 Altar,A3_CribOfIntention,To Love,,PU_Stone_Intention,"PU_Stone_Creation, PU_Stone_Remembrance","{68.5, -20.5, 0}",,,,,,,,,,,,,38 Chest,A3_Back7,PU_Money,"Weapon_Teleport, Blast","{24.8, -21.5, 270}",,,,,,
4 Altar,A3_CribOfIntention,To Love,,PU_Stone_Intention,"PU_Stone_Creation, PU_Stone_Remembrance, PU_Stone_Intention","{68.5, -20.5, 0}",,,,,,,,,,,,,39 Chest,A3_Shield3,PU_Shield,PU_Stone_Creation,"{11, -9.5, 90}",,,,,,
39 Chest,A3_Shield3,Back Alley-ChestShield,,PU_Shield,PU_Stone_Creation,"{11, -9.5, 90}",,,,,,,,,,,,,39 Chest,A3_Shield3,PU_Shield,Weapon_Teleport,"{11, -9.5, 90}",,,,,,
39 Chest,A3_Shield3,Back Alley-ChestShield,,PU_Shield,Weapon_Teleport,"{11, -9.5, 90}",,,,,,,,,,,,,40 Chest,A3_Shield3,PU_Money,PU_Stone_Creation,"{3, -9.5, 270}",,,,,,
40 Chest,A3_Shield3,Back Alley-ChestMoneyMedium,,PU_Money,PU_Stone_Creation,"{3, -9.5, 270}",,,,,,,,,,,,,40 Chest,A3_Shield3,PU_Money,Weapon_Teleport,"{3, -9.5, 270}",,,,,,
40 Chest,A3_Shield3,Back Alley-ChestMoneyMedium,,PU_Money,Weapon_Teleport,"{3, -9.5, 270}",,,,,,,,,,,,,41 Chest,A3_Shield5,PU_Money,PU_Stone_Creation,"{15.5, -16, 0}",,,,,,
41 Chest,A3_Shield5,Back Alley-ChestMoneyMedium,,PU_Money,PU_Stone_Creation,"{15.5, -16, 0}",,,,,,,,,,,,,41 Chest,A3_Shield5,PU_Money,Weapon_Teleport,"{15.5, -16, 0}",,,,,,
41 Chest,A3_Shield5,Back Alley-ChestMoneyMedium,,PU_Money,Weapon_Teleport,"{15.5, -16, 0}",,,,,,,,,,,,,42 Chest,AF_12,PU_Money,"PU_Stone_Dreams, PU_Stone_Remembrance, PU_Stone_Creation","{62, -12, 0}",,,,,,
52 Chest,A4_A3,Corner's Club-ChestMoneyMedium,,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{14.59, -14.41, 45}",,,,,,,,,,,,,42 Chest,AF_12,PU_Money,"PU_Stone_Dreams, PU_Stone_Remembrance, Weapon_Teleport","{62, -12, 0}",,,,,,
52 Chest,A4_A3,Corner's Club-ChestMoneyMedium,,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{14.59, -14.41, 45}",,,,,,,,,,,,,43 Chest,AF_12,PU_Money,"PU_Stone_Dreams, PU_Stone_Remembrance, PU_Stone_Creation","{44, -10, 180}",,,,,,
7 Altar,A4_A4B,AltarShock,Shock Alter,Weapon_EnergyBall,"PU_Stone_Intention, Weapon_Teleport","{23, -15.5, 90}",,,,,,,,,,,,,43 Chest,AF_12,PU_Money,"PU_Stone_Dreams, PU_Stone_Remembrance, Weapon_Teleport","{44, -10, 180}",,,,,,
7 Altar,A4_A4B,AltarShock,Shock Alter,Weapon_EnergyBall,"PU_Stone_Intention, PU_Stone_Creation","{23, -15.5, 90}",,,,,,,,,,,,,44 Chest,A3_Camp,PU_ManaFlask,Weapon_Teleport,"{43.5, -34, 0}",,,,,,
53 Chest,A4_A6,Dream Lands-ChestMoneyExtraLarge,,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{86.5, -33, 180}",,,,,,,,,,,,,44 Chest,A3_Camp,PU_ManaFlask,"PU_Stone_Creation, PU_Stone_Remembrance","{43.5, -34, 0}",,,,,,
53 Chest,A4_A6,Dream Lands-ChestMoneyExtraLarge,,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{86.5, -33, 180}",,,,,,,,,,,,,44 Chest,A3_Camp,PU_ManaFlask,"PU_Stone_Creation, PU_Stone_Remembrance, PU_Stone_Intention","{43.5, -34, 0}",,,,,,
55 Chest,A4_B1,Dream Lands-ChestMoney1000 (2),,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{41, -8, 90}",,,,,,,,,,,,,45 Chest,A3_Back2,PU_Money,"PU_Stone_Creation, PU_Stone_Intention","{24.125, -30.5, 90}",,,,,,
55 Chest,A4_B1,Dream Lands-ChestMoney1000 (2),,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{41, -8, 90}",,,,,,,,,,,,,45 Chest,A3_Back2,PU_Money,Weapon_Teleport,"{24.125, -30.5, 90}",,,,,,
56 Chest,A4_B1,Dream Lands-ChestMoney1000 (4),,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{43, -38, 0}",,,,,,,,,,,,,46 Chest,AF_9,PU_HealthFlask,"PU_Stone_Dreams, PU_Stone_Creation, PU_Stone_Intention","{30, -33.47, 90}",,,,,,
56 Chest,A4_B1,Dream Lands-ChestMoney1000 (4),,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{43, -38, 0}",,,,,,,,,,,,,46 Chest,AF_9,PU_HealthFlask,"PU_Stone_Dreams, Weapon_Teleport, PU_Stone_Intention","{30, -33.47, 90}",,,,,,
57 Chest,A4_B1,Dream Lands-ChestMoney1000 (3),,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{50, -8, 270}",,,,,,,,,,,,,47 Chest,AF_9,PU_Money,"PU_Stone_Dreams, PU_Stone_Creation, PU_Stone_Intention","{12.5, -22, 0}",,,,,,
57 Chest,A4_B1,Dream Lands-ChestMoney1000 (3),,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{50, -8, 270}",,,,,,,,,,,,,47 Chest,AF_9,PU_Money,"PU_Stone_Dreams, Weapon_Teleport, PU_Stone_Intention","{12.5, -22, 0}",,,,,,
58 Chest,A4_B1,Dream Lands-ChestMoneyLarge,,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{61, -27.5, 90}",,,,,,,,,,,,,48 Chest,AF_9,PU_Money,"PU_Stone_Dreams, PU_Stone_Creation, PU_Stone_Intention","{2, -13.5, 90}",,,,,,
58 Chest,A4_B1,Dream Lands-ChestMoneyLarge,,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{61, -27.5, 90}",,,,,,,,,,,,,48 Chest,AF_9,PU_Money,"PU_Stone_Dreams, Weapon_Teleport, PU_Stone_Intention","{2, -13.5, 90}",,,,,,
59 Chest,A4_B1,Dream Lands-ChestMoney1000 (1),,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{5.5, -12, 0}",,,,,,,,,,,,,49 Chest,AF_9,PU_Money,"PU_Stone_Dreams, PU_Stone_Creation, PU_Stone_Intention","{7.5, -22, 0}",,,,,,
59 Chest,A4_B1,Dream Lands-ChestMoney1000 (1),,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{5.5, -12, 0}",,,,,,,,,,,,,49 Chest,AF_9,PU_Money,"PU_Stone_Dreams, Weapon_Teleport, PU_Stone_Intention","{7.5, -22, 0}",,,,,,
60 Chest,A4_B4,DL-ChestDandaraArrow,,PU_DandaraArrow,"PU_Stone_Intention, Weapon_Teleport","{72.5, -75, 0}",,,,,,,,,,,,,50 Chest,A3_CribOfIntention,PU_Stone_Intention,Weapon_Teleport,"{68.5, -20.5, 0}",,,,,,
60 Chest,A4_B4,DL-ChestDandaraArrow,,PU_DandaraArrow,"PU_Stone_Intention, PU_Stone_Creation","{72.5, -75, 0}",,,,,,,,,,,,,50 Chest,A3_CribOfIntention,PU_Stone_Intention,"PU_Stone_Creation, PU_Stone_Remembrance","{68.5, -20.5, 0}",,,,,,
5 Altar,A4_DreamStone,Pearl of Dreams,,PU_Stone_Dreams,"PU_Stone_Intention, Weapon_Teleport","{35.131, -26.203, 0}",,,,,,,,,,,,,50 Chest,A3_CribOfIntention,PU_Stone_Intention,"PU_Stone_Creation, PU_Stone_Remembrance, PU_Stone_Intention","{68.5, -20.5, 0}",,,,,,
5 Altar,A4_DreamStone,Pearl of Dreams,,PU_Stone_Dreams,"PU_Stone_Intention, PU_Stone_Creation","{35.131, -26.203, 0}",,,,,,,,,,,,,51 Chest,AB_Backtrack3,PU_Money,"PU_Stone_Creation, PU_Stone_Remembrance","{30.5, -26, 0}",,,,,,
19 Chest,AB_Backtrack1,Limits of Sanity-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Intention, PU_Stone_Creation","{76, -12.5, 90}",,,,,,,,,,,,,51 Chest,AB_Backtrack3,PU_Money,"PU_Stone_Creation, PU_Stone_Intention","{30.5, -26, 0}",,,,,,
19 Chest,AB_Backtrack1,Limits of Sanity-ChestFlaskMana,,PU_ManaFlask,"PU_Stone_Intention, Weapon_Teleport","{76, -12.5, 90}",,,,,,,,,,,,,51 Chest,AB_Backtrack3,PU_Money,"Weapon_Teleport, PU_Stone_Remembrance","{30.5, -26, 0}",,,,,,
51 Chest,AB_Backtrack3,Cave of Desire-ChestMoneyLarge,,PU_Money,"PU_Stone_Creation, PU_Stone_Remembrance","{30.5, -26, 0}",,,,,,,,,,,,,51 Chest,AB_Backtrack3,PU_Money,"Weapon_Teleport, PU_Stone_Intention","{30.5, -26, 0}",,,,,,
51 Chest,AB_Backtrack3,Cave of Desire-ChestMoneyLarge,,PU_Money,"PU_Stone_Creation, PU_Stone_Intention","{30.5, -26, 0}",,,,,,,,,,,,,52 Chest,A4_A3,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{14.59, -14.41, 45}",,,,,,
51 Chest,AB_Backtrack3,Cave of Desire-ChestMoneyLarge,,PU_Money,"Weapon_Teleport, PU_Stone_Remembrance","{30.5, -26, 0}",,,,,,,,,,,,,52 Chest,A4_A3,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{14.59, -14.41, 45}",,,,,,
51 Chest,AB_Backtrack3,Cave of Desire-ChestMoneyLarge,,PU_Money,"Weapon_Teleport, PU_Stone_Intention","{30.5, -26, 0}",,,,,,,,,,,,,53 Chest,A4_A6,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{86.5, -33, 180}",,,,,,
6 Chest,AB_Backtrack4,Confusion Ruins-ChestDandaraArrow,,PU_DandaraArrow,None,"{53.5, -48, 0}",,,,,,,,,,,,,53 Chest,A4_A6,PU_Money,"PU_Stone_Intention, PU_Stone_Creation","{86.5, -33, 180}",,,,,,
7 Chest,AB_Backtrack4,Confusion Ruins-ChestMoneyLarge,,PU_Money,PU_Stone_Creation,"{13, -45, 0}",,,,,,,,,,,,,54 Chest,A4_A4B,Weapon_EnergyBall,"PU_Stone_Intention, Weapon_Teleport","{23, -15.5, 90}",,,,,,
7 Chest,AB_Backtrack4,Confusion Ruins-ChestMoneyLarge,,PU_Money,Weapon_Teleport,"{13, -45, 0}",,,,,,,,,,,,,54 Chest,A4_A4B,Weapon_EnergyBall,"PU_Stone_Intention, PU_Stone_Creation","{23, -15.5, 90}",,,,,,
36 Chest,AB_FieldCampSecret,Capital Outskirts-ChestFlaskMana,,PU_ManaFlask,PU_Stone_Creation,"{19.5, -22, 0}",,,,,,,,,,,,,4 Altar,A4_DreamStone,PU_Stone_Dreams,"PU_Stone_Intention, Weapon_Teleport","{35.131, -26.203, 0}",,,,,,
36 Chest,AB_FieldCampSecret,Capital Outskirts-ChestFlaskMana,,PU_ManaFlask,Weapon_Teleport,"{19.5, -22, 0}",,,,,,,,,,,,,4 Altar,A4_DreamStone,PU_Stone_Dreams,"PU_Stone_Intention, PU_Stone_Creation","{35.131, -26.203, 0}",,,,,,
2 Chest,AB_FirstTrack1,Palmares Track-ChestFlaskHealth,,PU_HealthFlask,Blast,"{49, -24, 0}",,,,,,,,,,,,,55 Chest,A4_B1,PU_Money,"PU_Stone_Intention, Weapon_Teleport","{41, -8, 90}",,,,,,
