,RoomID,RoomName,RoomArea,Overworld/Fearworld,,,RoomID,RoomName,RoomArea,,,RoomID,RoomName,RoomArea,,,RoomID,RoomName,RoomArea
154,AF_B3,Augustus' Tests Room,Golden Fortress,Overworld,,,,,,,,,,,,154,A1_GD5,Illusionary Way,Village of Artists
155,AF_B4,Augustus' Labs,Golden Fortress,Overworld,,,,,,,,,,,,155,A1_GD6,Dona Clara's Restaurant,Village of Artists
156,AF_B5,Augustus' Machinery,Golden Fortress,Overworld,,,,,,,,,,,,156,A1_GD7,Samba Hostel,Village of Artists
157,AF_Boss,Control Chamber,Golden Fortress,Overworld,,,,,,,,,,,,157,A1_GD8,The Dalvian Star,Village of Artists
158,AF_C1,Beautiful Women's Salon,Golden Fortress,Overworld,,,,,,,,,,,,158,A1_GD9,House of Sadness,Village of Artists
159,AF_C2,Demure Women's Salon,Golden Fortress,Overworld,,,,,,,,,,,,159,A1_Market,Central Market,Village of Artists
160,AF_C3,Corridor of Silence,Golden Fortress,Overworld,,,,,,,,,,,,160,A1_MinibossAvenue,Beautiful Horizon Avenue,Village of Artists
161,AF_C4,Gymnasium Space,Golden Fortress,Overworld,,,,,,,,,,,,161,A1_MusicianHouse,Thommaz's House,Village of Artists
162,AF_C4_2,"No Pain, No Gain",Golden Fortress,Overworld,,,,,,,,,,,,162,A1_MusicianPath1,Market Back Door,Village of Artists
163,AF_C5,Wives' Corridor,Golden Fortress,Overworld,,,,,,,,,,,,163,A1_MusicianPath2,First Nine Alley,Village of Artists
164,AF_C6,Children Lobby,Golden Fortress,Overworld,,,,,,,,,,,,164,A1_MusicianPath3,Bridge of the Falling River,Village of Artists
165,AF_D1,ID Control,Golden Fortress,Overworld,,,,,,,,,,,,165,A1_MusicianPath4,Piano Alley,Village of Artists
166,AF_D2,Command Center,Golden Fortress,Overworld,,,,,,,,,,,,166,A1_MusicianPathB,Garantido's Bar,Village of Artists
167,AF_D3,Eldarian Army Courtyard,Golden Fortress,Overworld,,,,,,,,,,,,167,A1_MusicianPathC,Lazúli's House,Village of Artists
168,AF_D4,Guardhouse,Golden Fortress,Overworld,,,,,,,,,,,,168,A1_PainterExit1,Backyard,Village of Artists
169,AF_D5,White Space,Golden Fortress,Overworld,,,,,,,,,,,,169,A1_PainterExit2,Sewers,Village of Artists
170,AF_D6,Greediness Space,Golden Fortress,Overworld,,,,,,,,,,,,170,A1_PainterHouse,Tarsila's House,Village of Artists
171,AF_D7,Miserliness Space,Golden Fortress,Overworld,,,,,,,,,,,,171,A1_PainterPath1,Paint Well,Village of Artists
172,AF_FinalCamp,Eldarian Gates,Golden Fortress,Overworld,,,,,,,,,,,,172,A1_PainterPath2,Abandoned House,Village of Artists
173,AF_MainRoom,Path to Great Fortune,Golden Fortress,Overworld,,,,,,,,,,,,173,A1_PainterPath3,Community Street,Village of Artists
174,AF_PathA_1,Strong Men's Corridor,Golden Fortress,Overworld,,,,,,,,,,,,174,A1_PainterPath4,The Rich and the Poor,Village of Artists
175,AF_PathA_2,Smart Men's Room,Golden Fortress,Overworld,,,,,,,,,,,,175,A1_PainterPathB,Library,Village of Artists
176,AF_PathA_3,Rich Men's Lounge,Golden Fortress,Overworld,,,,,,,,,,,,176,A1_PreBoss,Temple of Creation,Village of Artists
177,AF_PathA_4,Powerful Men's Hall,Golden Fortress,Overworld,,,,,,,,,,,,177,A1_StatisticsRoom,Right Projector Room,Village of Artists
178,AF_PathA_5,Experienced Men's Lobby,Golden Fortress,Overworld,,,,,,,,,,,,178,A1_Void_Run1,UNKNOWN_NAME,UNKNOWN_AREANAME
179,AFEAR_A_1,Overcast Hidden Entrance,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
180,AFEAR_A_10,The Golden View From Beneath,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
181,AFEAR_A_11,Infinite Walk,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
182,AFEAR_A_12,Finite Run,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
183,AFEAR_A_13,Tunnel of the Impulsive,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
184,AFEAR_A_14,Path to Recognition,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
185,AFEAR_A_15,Self Reflection Ways,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
186,AFEAR_A_2,Whelmed in Fear,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
187,AFEAR_A_3,Leap of Mistrust,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
188,AFEAR_A_4,Irresolute Trifurcation,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
189,AFEAR_A_5,Crumbling Hollow,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
190,AFEAR_A_6,A Dark Angle,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
191,AFEAR_A_7,The Golden Breach,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
192,AFEAR_A_8,The Golden Creep,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
193,AFEAR_A_9,Unlucky's Grotto,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
194,AFEAR_A_AlternativeChest,True Explorers Treasure,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
195,AFEAR_A_AlternativePath,Self Awareness Deviation,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
196,AFEAR_A_Cave2,Nevermore a Beautiful Horizon,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
197,AFEAR_A_EyeSecret1,Through The Eyes of Fear,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
198,AFEAR_A_EyeSecret2,To The Award of Courage,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
199,AFEAR_A_PathtoT_1,"Stress Vent, So Stressful",Hidden Realms,Fearworld,,,,,,,,,,,,,,,
200,AFEAR_A_PathtoT_2,Incident Square,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
201,AFEAR_A_Secret1,Spinning Laughter,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
202,AFEAR_A_Secret2,Underlying Truth,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
203,AFEAR_A_SuperDandara_1,Rest on the Second Sunday,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
204,AFEAR_A_SuperDandara_2,Resilience Growth,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
205,AFEAR_A_ToArea,Resolute Situation,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
206,AFEAR_A_ToBridge1,Cave of Struggle,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
207,AFEAR_A_ToBridge2,Hidden Eye,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
208,AFEAR_Boss,The Colossal Bridge,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
209,AFEAR_Bridge,Hidden Bridge,Hidden Bridge,Fearworld,,,,,,,,,,,,,,,
210,AFEAR_Cage_1,Gates of Exile,Exile of Contemplations,Fearworld,,,,,,,,,,,,,,,
211,AFEAR_Cage_2,Nara's Cage,Exile of Contemplations,Fearworld,,,,,,,,,,,,,,,
212,AFEAR_Cage_Miniboss,Maze of Ruminations,Exile of Contemplations,Fearworld,,,,,,,,,,,,,,,
213,AFEAR_Cage_PreRoom,Passage of The Exiled,Exile of Contemplations,Fearworld,,,,,,,,,,,,,,,
214,AFEAR_FinalPath_Entrance,Control Chamber,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
215,AFEAR_FinalPath1,Path to Great Fortune,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
216,AFEAR_FinalPath2,Eldarian Gates,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
217,AFEAR_FinalPath3,The Golden Pride,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
218,AFEAR_FinalPath4,The Golden Threat,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
219,AFEAR_FinalPath5,Corruption Transform,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
220,AFEAR_FinalPath6,Capital Outskirts,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
221,AFEAR_FinalPath7,The Traveler's Corridor,The Salt Is Hesitant,FinaleBoss,,,,,,,,,,,,,,,
222,AFEAR_K_Camp,The Masquerade Welcome,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
223,AFEAR_K_Lock,Changing Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
224,AFEAR_K_Maze,Friendly Gathering,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
225,AFEAR_K_PathA1,Distant Laugher,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
226,AFEAR_K_PathA2,Distant Warm Breath,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
227,AFEAR_K_PathB1,The Example,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
228,AFEAR_K_PathB1_1,Wet Masks Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
229,AFEAR_K_PathB1_2,Warm Masks Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
230,AFEAR_K_PathC1,Cold Masks Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
231,AFEAR_K_PathC2,Dry Masks Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
232,AFEAR_K_PathD1,Club Mascot & Live Stage,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
233,AFEAR_K_PathD2,Esteemed Scholar Council,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
234,AFEAR_K_PathD3,Peak Beauty Caucus,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
235,AFEAR_K_PathD3_B,Ostentation Room,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
236,AFEAR_K_PathE1,Weak-Minded Segregation,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
237,AFEAR_K_PathE2,Weak-Blooded Punishment,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
238,AFEAR_K_PathE3,Test Against The Unmasked,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
239,AFEAR_K_PathF1,Secrets Better Left Unmentioned,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
240,AFEAR_K_PathF2,Secrets Beneath Masks,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
241,AFEAR_K_PathF3,Secrets Beneath Faces,The Masquerade Ball,Fearworld,,,,,,,,,,,,,,,
242,AFEAR_M_1,Students Way,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
243,AFEAR_M_2,Natatorium of Adventure,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
244,AFEAR_M_3,King's View,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
245,AFEAR_M_4,Apprentice Lane,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
246,AFEAR_M_5,Cave of the Most Talented Child,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
247,AFEAR_M_6,Hall of the Monk,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
248,AFEAR_M_7,Hallway of Merit,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
249,AFEAR_M_Camp,Ateles' Study,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
250,AFEAR_M_Explorer1,Nakaturen Frigate Elevator,The Pioneer Facility,Fearworld,,,,,,,,,,,,,,,
251,AFEAR_M_Explorer2,Refair,The Pioneer Facility,Fearworld,,,,,,,,,,,,,,,
252,AFEAR_M_Explorer3,Crawstar,The Pioneer Facility,Fearworld,,,,,,,,,,,,,,,
253,AFEAR_M_Explorer4,Wrecked Nakaturen Bridge,The Pioneer Facility,Fearworld,,,,,,,,,,,,,,,
254,AFEAR_M_Noble1,Castle Entrance,The Privileged Keep,Fearworld,,,,,,,,,,,,,,,
255,AFEAR_M_Noble2,Victorious Hall,The Privileged Keep,Fearworld,,,,,,,,,,,,,,,
256,AFEAR_M_Noble3,Alchemist's Gallery,The Privileged Keep,Fearworld,,,,,,,,,,,,,,,
257,AFEAR_M_Noble4,Lord's Rest Chamber,The Privileged Keep,Fearworld,,,,,,,,,,,,,,,
258,AFEAR_M_Noble5,Rest of the Acolyte,The Privileged Keep,Fearworld,,,,,,,,,,,,,,,
259,AFEAR_M_Persistent1,Rock Cave,The Enduring Fortress,Fearworld,,,,,,,,,,,,,,,
260,AFEAR_M_Persistent2,Pain Sanctuary,The Enduring Fortress,Fearworld,,,,,,,,,,,,,,,
261,AFEAR_M_Persistent3,Moonlight Shrine,The Enduring Fortress,Fearworld,,,,,,,,,,,,,,,
262,AFEAR_M_Secret1,Windy Hall,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
263,AFEAR_M_Secret2,Windy Cave,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
264,AFEAR_M_Secret3,Windy Corridor,Hidden Realms,Fearworld,,,,,,,,,,,,,,,
265,AFEAR_Masters,The Grand Stage,Masters' Auditorium,Fearworld,,,,,,,,,,,,,,,
266,AFEAR_Masters_Outside,Auditorium Hall,Masters' Auditorium,Fearworld,,,,,,,,,,,,,,,
267,AFEAR_T_1,Past Central Gate,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
268,AFEAR_T_10,A Last Overrun,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
269,AFEAR_T_2,Pusher's Assignment,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
270,AFEAR_T_2_B,Pusher's Evaluation,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
271,AFEAR_T_3,Waster's Procrastination,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
272,AFEAR_T_4,Past Side Gate,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
273,AFEAR_T_5,Ticket Line,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
274,AFEAR_T_6,Waiter's Room,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
275,AFEAR_T_7,Ticket Office,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
276,AFEAR_T_8,Pusher's Deadline,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
277,AFEAR_T_9,Waiter and Waster,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
278,AFEAR_T_Entrance,Central Gate Plaza,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
279,AFEAR_T_Exit,Future Path Gate,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
280,AFEAR_T_PathA1,Station Rendezvous,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
281,AFEAR_T_PathB1,Station Side Lock,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
282,AFEAR_T_Tower,Clock Tower,Ephemeral Station,Fearworld,,,,,,,,,,,,,,,
