Duck,Duck Id,Column,Dlc,Unique Quack,Special Spawn,Include,,Duck Name,Event Duck?,Seasonal Duck?,Ducks Required,Special Duck Properties,Map,,Map Name,Id,,DLC
Thief Duck,DLC5Duck21Thief,10,So Many Ducks,FALSE,FALSE,TRUE,,Retro Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Diver Duck,DLC5Duck15Diver,10,So Many Ducks,TRUE,FALSE,TRUE,,Holo-Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Tangerine Duck,DLC7Duck17Mandarin,1,Ducks Galore,FALSE,FALSE,TRUE,,SuperHero duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Peacock Duck,DLC7Duck21Peacock,1,Ducks Galore,TRUE,FALSE,TRUE,,Tangerine Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Balloon Duck,DLC7Duck5Baloon,1,Ducks Galore,TRUE,FALSE,TRUE,,Kick-Me Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Kick-Me Duck,DLC7Duck10KickMe,2,Ducks Galore,FALSE,FALSE,TRUE,,Lovely Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
City Nights Duck,DLC7Duck14Window,2,Ducks Galore,FALSE,FALSE,TRUE,,Constellation Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Pincushion Duck,DLC7Duck26Pincushion,2,Ducks Galore,FALSE,FALSE,TRUE,,Clicker Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Lovely Duck,DLC7Duck9Heart,3,Ducks Galore,FALSE,FALSE,TRUE,,Caterpillar Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Koi Duck,DLC7Duck3Carp,3,Ducks Galore,FALSE,FALSE,TRUE,,Musicbox Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Gachapon Duck,DLC7Duck27Candies,3,Ducks Galore,TRUE,FALSE,TRUE,,Flapjack Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Constellation Duck,DLC7Duck7Constellation,4,Ducks Galore,FALSE,FALSE,TRUE,,Kawaii Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Trans Duck,DLC7Duck22Trans,4,Ducks Galore,FALSE,FALSE,TRUE,,Doodle Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Tamoduckchi,DLC7Duck15Tamago,4,Ducks Galore,TRUE,FALSE,TRUE,,Peacock Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Clicker Duck,DLC7Duck6Clicker,5,Ducks Galore,TRUE,FALSE,TRUE,,City Nights Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Player Duck,DLC7Duck23MyNameIs,5,Ducks Galore,FALSE,FALSE,TRUE,,Koi Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Funi Raccoon Duck,DLC7Duck13Racoon,5,Ducks Galore,FALSE,FALSE,TRUE,,Trans Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Caterpillar Duck,DLC7Duck4Apple,6,Ducks Galore,FALSE,FALSE,TRUE,,Player Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Water Fight Duck,DLC7Duck24Powerwash,6,Ducks Galore,FALSE,FALSE,TRUE,,Water Fight Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Neon Duck,DLC7Duck12Neon,6,Ducks Galore,FALSE,FALSE,TRUE,,Octopus Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Musicbox Duck,DLC7Duck18Carillon,7,Ducks Galore,TRUE,FALSE,TRUE,,Mosaic Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Octopus Duck,DLC7Duck1Octopus,7,Ducks Galore,FALSE,FALSE,TRUE,,Fungduck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Kamiquackze Duck,DLC7Duck16Bomb,7,Ducks Galore,TRUE,FALSE,TRUE,,Flavored Milk Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Flapjack Duck,DLC7Duck19Pancake,8,Ducks Galore,FALSE,FALSE,TRUE,,Balloon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Mosaic Duck,DLC7Duck11Mosaic,8,Ducks Galore,FALSE,FALSE,TRUE,,Pincushion Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Kawaii Duck,DLC7Duck20BigEyes,9,Ducks Galore,FALSE,FALSE,TRUE,,Gachapon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Fungduck,DLC7Duck8Mushroom,9,Ducks Galore,FALSE,FALSE,TRUE,,Tamoduckchi,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Doodle Duck,DLC7Duck2Marker,10,Ducks Galore,FALSE,FALSE,TRUE,,Funi Raccoon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Flavored Milk Duck,DLC7Duck25Juice,10,Ducks Galore,FALSE,FALSE,TRUE,,Neon Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Duckling's First Toy,DLC8Duckling1Clemontoni,1,Ducklings,TRUE,FALSE,TRUE,,Kamiquackze Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
KISS Duckling,DLC8Duckling11Metal,1,Ducklings,TRUE,FALSE,TRUE,,Duckling's First Toy,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Math Duckling,DLC8Duckling2Math,2,Ducklings,FALSE,FALSE,TRUE,,Math Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Sad Duckling,DLC8Duckling12Baloon,2,Ducklings,FALSE,FALSE,TRUE,,Egged Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Egged Duckling,DLC8Duckling3Egg,3,Ducklings,FALSE,FALSE,TRUE,,School Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Ice Cream Duckling,DLC8Duckling13IceCream,3,Ducklings,FALSE,FALSE,TRUE,,Bnuuy Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
School Duckling,DLC8Duckling4Schoolboy,4,Ducklings,FALSE,FALSE,TRUE,,Cherry Ducklings,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Bread Duckling,DLC8Duckling14Toast,4,Ducklings,FALSE,FALSE,TRUE,,Sponge Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Bnuuy Duckling,DLC8Duckling5Bunny,5,Ducklings,FALSE,FALSE,TRUE,,HotBeaks Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Annoying Duckling,DLC8Duckling15Flute,5,Ducklings,TRUE,FALSE,TRUE,,Real Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Cherry Ducklings,DLC8Duckling6Cherry,6,Ducklings,FALSE,FALSE,TRUE,,Student Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Sponge Duckling,DLC8Duckling7Sponge,7,Ducklings,FALSE,FALSE,TRUE,,KISS Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
HotBeaks Duck,DLC8Duckling8Kart,8,Ducklings,TRUE,FALSE,TRUE,,Sad Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Real Duckling,DLC8Duckling9Duckling,9,Ducklings,TRUE,FALSE,TRUE,,Ice Cream Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Student Duckling,DLC8Duckling10Karate,10,Ducklings,TRUE,FALSE,TRUE,,Bread Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Snowboarding Duck,DuckWinter1Iced,1,,FALSE,FALSE,FALSE,,Annoying Duckling,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Pidgeon Duck,Duck1RTPidgeon,1,,FALSE,FALSE,FALSE,,Snowboarding Duck,Yes,No,,,,,,,,
,DLC9Duck3Axolotl,1,,FALSE,FALSE,FALSE,,Lumberjack Duck,Yes,No,,,,,,,,
Lumberjack Duck,DuckWinter2Lumberduck,2,,FALSE,FALSE,FALSE,,St. Bernard Duck,Yes,No,,,,,,,,
,Duck2RTPWinCleaner,2,,FALSE,FALSE,FALSE,,Gamer Duck,Yes,No,,,,,,,,
,DLC9Duckling4Pegasus,2,,FALSE,FALSE,FALSE,,Mouse Duck,Yes,No,,,,,,,,
St. Bernard Duck,DuckWinter3Dog,3,,FALSE,FALSE,FALSE,,Gaming PC Duck,Yes,No,,,,,,,,
Doorman Duck,Duck3RTEleveator,3,,FALSE,FALSE,FALSE,,duC#,Yes,No,,,,,,,,
Gamer Duck,ICDuck1Asus,4,,FALSE,FALSE,FALSE,,Spaceman Duck,Yes,No,,,,,,,,
Party Duck,Duck4RTNecktie,4,,FALSE,FALSE,FALSE,,??? Duck,Yes,No,,,,,,,,
Mouse Duck,ICDuck2Mouse,5,,FALSE,FALSE,FALSE,,??? Duck,Yes,No,,,,,,,,
Vacation Duck,Duck5RTHawaian,5,,FALSE,FALSE,FALSE,,Pidgeon Duck,Yes,No,,,,,,,,
Gaming PC Duck,ICDuck3PC,6,,FALSE,FALSE,FALSE,,??? Duck,Yes,No,,,,,,,,
Another Duck in the Wall,Duck6RTBrick,6,,FALSE,FALSE,FALSE,,Doorman Duck,Yes,No,,,,,,,,
duC#,ICDuck4QR,7,,FALSE,FALSE,FALSE,,Party Duck,Yes,No,,,,,,,,
Secretary Duck,Duck7RTSecretary,7,,FALSE,FALSE,FALSE,,Vacation Duck,Yes,No,,,,,,,,
Spaceman Duck,DLC4Duck1Astro,8,,FALSE,FALSE,FALSE,,Another Duck in the Wall,Yes,No,,,,,,,,
Buisness Duck,Duck8RTSmartWorker,8,,FALSE,FALSE,FALSE,,Secretary Duck,Yes,No,,,,,,,,
,DLC4Duck2Monitor,9,,FALSE,FALSE,FALSE,,Buisness Duck,Yes,No,,,,,,,,
,DLC9Duck1Amphora,9,,FALSE,FALSE,FALSE,,??? Duck,Yes,No,,,,,,,,
,DLC4Duck3Ufo,10,,FALSE,FALSE,FALSE,,Key Duck,Yes,No,,,,,,,,
Key Duck,DLC9Duck2Key,10,,FALSE,FALSE,FALSE,,??? Duck,Yes,No,,,,,,,,
,,,,,,,,??? Duck,Yes,No,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,Witch Duck,No,Yes,,,,,,,,
,,,,,,,,Jack-O-Duck,No,Yes,,,,,,,,
,,,,,,,,Zombie Duck,No,Yes,,,,,,,,
,,,,,,,,Mummy Duck,No,Yes,,,,,,,,
,,,,,,,,Plague Duckter,No,Yes,,,,,,,,
,,,,,,,,Monkey Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
,,,,,,,,??? Duck,No,Yes,,,,,,,,
